Time,Amplitude
0.0,2.816687638038912e-17
0.001,-2.2561974213594365e-16
0.002,3.6062143699682995e-15
0.003,9.010553130796212e-16
0.004,4.732889425183865e-15
0.005,2.0277303682951862e-15
0.006,-6.774286885934922e-16
0.007,-3.3825877454821703e-15
0.008,6.986239535614994e-15
0.009000000000000001,-2.1866892197245374e-14
0.01,1.5759214218376378e-15
0.011,2.501873504092065e-14
0.012,-3.834396691939719e-15
0.013000000000000001,-6.539555748828398e-15
0.014,-9.244714805717076e-15
0.015,1.4198098813365933e-14
0.016,1.1492939756477256e-14
0.017,-1.7360191976383112e-14
0.018000000000000002,-7.236129638521516e-14
0.019,-2.277051009016047e-14
0.02,-2.547566914704915e-14
0.021,-2.8180828203937825e-14
0.022,2.1409958091116872e-14
0.023,-3.359114631771518e-14
0.024,-3.6296305374603863e-14
0.025,-3.9001464431492545e-14
0.026000000000000002,-4.170662348838122e-14
0.027,7.88416280667348e-15
0.028,-4.7116941602158576e-14
0.029,-4.982210065904725e-14
0.03,-2.313143639925565e-16
0.031,-2.936473420881235e-15
0.032,-5.6416324777699136e-15
0.033,-8.346791534658592e-15
0.034,4.1243994760396106e-14
0.035,-1.375710964843595e-14
0.036000000000000004,-6.8758214057268e-14
0.037,8.542446294167344e-14
0.038,3.042335853284139e-14
0.039,8.001414482789609e-14
0.04,2.5013040419064036e-14
0.041,-2.9988063989768015e-14
0.042,1.9602722305286676e-14
0.043000000000000003,-3.539838210354538e-14
0.044,1.1878429489539607e-13
0.045,6.378319048656402e-14
0.046,8.782086077731963e-15
0.047,5.837287237278667e-14
0.048,3.3717679639546066e-15
0.049,5.2962554259009304e-14
0.05,-2.0385501498227508e-15
0.051000000000000004,-5.703965455865481e-14
0.052000000000000005,-7.448868263600108e-15
0.053,4.214191803145459e-14
0.054,9.173270432650929e-14
0.055,3.673159991767723e-14
0.056,-1.8269504491154823e-14
0.057,3.132128180389988e-14
0.058,-2.3679822604932176e-14
0.059000000000000004,2.5910963690122518e-14
0.06,7.550174998517722e-14
0.061,2.0500645576345162e-14
0.062,7.009143187139986e-14
0.063,1.5090327462567805e-14
0.064,6.468111375762251e-14
0.065,9.680009348790447e-15
0.066,-1.4991298576392836e-13
0.067,-2.049140901727604e-13
0.068,-5.073141317381896e-14
0.069,-1.0573251758265103e-13
0.07,-1.6073362199148308e-13
0.07100000000000001,-2.157347264003151e-13
0.07200000000000001,-2.707358308091472e-13
0.073,9.263062759756776e-14
0.074,3.762952318873572e-14
0.075,-1.7371581220096338e-14
0.076,-7.237268562892838e-14
0.077,-1.2737379003776047e-13
0.078,2.6808886961181e-14
0.079,-2.819221744765105e-14
0.08,-8.319332185648311e-14
0.081,-1.3819442626531517e-13
0.082,-1.931955306741472e-13
0.083,-3.9012853675205764e-14
0.084,-9.401395808403782e-14
0.085,-1.4901506249286987e-13
0.08600000000000001,-2.040161669017019e-13
0.08700000000000001,-2.59017271310534e-13
0.088,1.0434918709618097e-13
0.089,4.934808268734892e-14
0.09,-5.653021721483139e-15
0.091,-6.065412613031519e-14
0.092,-1.1565523053914725e-13
0.093,3.8527446459794205e-14
0.094,-1.6473657949037855e-14
0.095,-7.14747623578699e-14
0.096,-1.2647586676670197e-13
0.097,-1.8147697117553402e-13
0.098,-2.729429417659257e-14
0.099,-8.229539858542463e-14
0.1,-1.3729650299425667e-13
0.101,-1.9229760740308874e-13
0.10200000000000001,-2.4729871181192076e-13
0.10300000000000001,-9.311603481297934e-14
0.10400000000000001,-1.481171392218114e-13
0.105,6.065537777130059e-15
0.106,-4.8935566631702e-14
0.107,-1.0393667104053404e-13
0.108,5.0246005958407404e-14
0.109,-4.7550984504246554e-15
0.11,-5.975620285925671e-14
0.111,-1.1475730726808878e-13
0.112,-1.697584116769208e-13
0.113,-1.557573467797937e-14
0.114,-7.057683908681142e-14
0.115,-1.2557794349564346e-13
0.116,-1.8057904790447553e-13
0.117,-2.355801523133076e-13
0.11800000000000001,-8.139747531436614e-14
0.11900000000000001,-1.3639857972319818e-13
0.12,1.7784097275743258e-14
0.121,-3.72170071330888e-14
0.122,-9.221811154192085e-14
0.123,6.19645654570206e-14
0.124,6.963461048188544e-15
0.125,-4.803764336064351e-14
0.126,-1.0303874776947556e-13
0.127,-1.580398521783076e-13
0.128,-3.857175179366171e-15
0.129,-5.885827958819823e-14
0.13,-1.138593839970303e-13
0.131,4.032329300191117e-14
0.132,-2.238615928146944e-13
0.133,-6.967891581575295e-14
0.134,-3.338638016323585e-13
0.135,-1.7968112463341706e-13
0.136,-2.5498447634475598e-14
0.137,-2.8968333345108115e-13
0.138,-1.3550065645213972e-13
0.139,-3.9968554226874524e-13
0.14,-2.4550286526980383e-13
0.14100000000000001,-9.132018827086237e-14
0.14200000000000002,-3.555050740874679e-13
0.14300000000000002,-2.0132239708852646e-13
0.14400000000000002,-4.65507282905132e-13
0.145,1.0704295690935643e-13
0.146,2.6122563390829787e-13
0.147,-2.9592519083076864e-15
0.148,1.5122342509063378e-13
0.149,-1.1296146072597179e-13
0.15,4.1221216272969655e-14
0.151,1.954038932719111e-13
0.152,-6.878099254469445e-14
0.153,8.540168445424699e-14
0.154,-1.7878320136235857e-13
0.155,-2.4600524363417113e-14
0.156,1.2958215263552432e-13
0.157,-1.3460273318108122e-13
0.158,1.9579943817860225e-14
0.159,-2.446049419987453e-13
0.16,-9.042226499980388e-14
0.161,6.376041199913757e-14
0.162,-2.00424473817468e-13
0.163,-4.624179681852654e-14
0.164,-3.104266826351321e-13
0.165,-1.5624400563619065e-13
0.166,-2.0613286372492023e-15
0.167,-2.6624621445385477e-13
0.168,-1.1206353745491332e-13
0.169,-3.7624842327151886e-13
0.17,-2.220657462725774e-13
0.171,-6.788306927363597e-14
0.17200000000000001,-3.3206795509024154e-13
0.17300000000000001,-1.7788527809130008e-13
0.17400000000000002,-4.420701639079057e-13
0.17500000000000002,-2.878874869089642e-13
0.176,2.846627529055243e-13
0.177,2.047786708891871e-14
0.178,1.7466054408786016e-13
0.179,-8.952434172874539e-14
0.18,6.465833527019606e-14
0.181,2.1884101226913748e-13
0.182,-4.5343873547468063e-14
0.183,1.0883880345147339e-13
0.184,-1.5534608236513216e-13
0.185,-1.163405366190718e-15
0.186,1.5301927163275073e-13
0.187,-1.1116561418385483e-13
0.188,4.301706281508662e-14
0.189,-2.211678230015189e-13
0.19,-6.69851460025775e-14
0.191,8.719753099636396e-14
0.192,-1.769873548202416e-13
0.193,-2.2804677821300145e-14
0.194,-2.869895636379057e-13
0.195,-1.3280688663896427e-13
0.196,2.1375790359977196e-14
0.197,-2.4280909545662833e-13
0.198,-8.862641845768691e-14
0.199,-3.5281130427429247e-13
0.2,-1.9862862727535104e-13
0.201,-4.444595027640957e-14
0.202,-3.0863083609301515e-13
0.203,-1.5444815909407367e-13
0.20400000000000001,-4.1863304491067924e-13
0.20500000000000002,-2.644503679117378e-13
0.20600000000000002,-1.1026769091279634e-13
0.20700000000000002,-3.7445257672940187e-13
0.20800000000000002,-2.2026989973046046e-13
0.209,-6.608722273151899e-14
0.21,8.809545426742245e-14
0.211,2.422781312663639e-13
0.212,-2.1906754550241663e-14
0.213,1.322759224486998e-13
0.214,-1.3190896336790577e-13
0.215,2.2273713631035678e-14
0.216,1.7645639062997712e-13
0.217,-8.772849518662843e-14
0.218,6.645418181231302e-14
0.219,-1.9773070400429255e-13
0.22,-4.3548027005351086e-14
0.221,1.1063464999359036e-13
0.222,-1.535502358230152e-13
0.223,6.324411759262504e-16
0.224,-2.635524446406793e-13
0.225,-1.0936976764173787e-13
0.226,4.481290935720359e-14
0.227,-2.1937197645940197e-13
0.228,-6.518929946046051e-14
0.229,-3.293741852770661e-13
0.23,-1.7519150827812463e-13
0.231,-2.1008831279183178e-14
0.232,-2.851937170957887e-13
0.233,-1.3101104009684728e-13
0.234,-3.9519592591345286e-13
0.23500000000000001,-2.410132489145114e-13
0.23600000000000002,-8.683057191556995e-14
0.23700000000000002,-3.5101545773217554e-13
0.23800000000000002,-1.9683278073323405e-13
0.23900000000000002,-4.610176665498396e-13
0.24,1.1153257326464885e-13
0.241,2.657152502635903e-13
0.242,1.5303644469847347e-15
0.243,1.5571304144592618e-13
0.244,-1.0847184437067938e-13
0.245,4.5710832628262075e-14
0.246,1.9989350962720353e-13
0.247,-6.429137618940203e-14
0.248,8.989130080953941e-14
0.249,-1.7429358500706614e-13
0.25,-2.0110908008124693e-14
0.251,1.3407176899081676e-13
0.252,-1.3011311682578882e-13
0.253,2.406956017315265e-14
0.254,-2.4011532564345293e-13
0.255,-8.593264864451146e-14
0.256,6.825002835442999e-14
0.257,-1.959348574621756e-13
0.258,-4.175218046323412e-14
0.259,-3.0593706627983965e-13
0.26,-1.5175438928089824e-13
0.261,4.2079585053359017e-13
0.262,5.749785275325317e-13
0.263,-1.0757392109962089e-13
0.264,4.6608755899320554e-14
0.265,2.0079143289826202e-13
0.266,3.5497410989720345e-13
0.267,5.091567868961449e-13
0.268,-1.7339566173600764e-13
0.269,-1.921298473706621e-14
0.27,1.3496969226187525e-13
0.271,2.891523692608167e-13
0.272,4.4333504625975814e-13
0.273,-2.392174023723944e-13
0.274,-8.503472537345298e-14
0.275,6.914795162548848e-14
0.276,2.2333062862442994e-13
0.277,3.7751330562337137e-13
0.278,-3.050391430087812e-13
0.279,-1.5085646600983975e-13
0.28,3.326210989101703e-15
0.281,1.5750888798804314e-13
0.28200000000000003,3.116915649869846e-13
0.28300000000000003,-3.7086088364516796e-13
0.28400000000000003,-2.166782066462265e-13
0.28500000000000003,-6.249552964728506e-14
0.28600000000000003,9.168714735165638e-14
0.28700000000000003,2.4586982435059783e-13
0.28800000000000003,-4.3668262428155473e-13
0.289,5.542351783484807e-13
0.29,7.084178553474222e-13
0.291,8.626005323463637e-13
0.292,1.016783209345305e-12
0.293,3.342307607131525e-13
0.294,4.884134377120939e-13
0.295,6.425961147110354e-13
0.296,7.967787917099769e-13
0.297,9.509614687089183e-13
0.298,2.6840902007676575e-13
0.299,4.2259169707570716e-13
0.3,5.767743740746486e-13
0.301,7.309570510735901e-13
0.302,8.851397280725315e-13
0.303,2.0258727944037898e-13
0.304,3.5676995643932044e-13
0.305,5.109526334382619e-13
0.306,6.651353104372034e-13
0.307,8.193179874361448e-13
0.308,1.367655388039922e-13
0.309,2.9094821580293367e-13
0.31,4.451308928018752e-13
0.311,5.993135698008165e-13
0.312,7.53496246799758e-13
0.313,7.094379816760545e-14
0.314,2.251264751665469e-13
0.315,3.7930915216548835e-13
0.316,5.334918291644298e-13
0.317,6.876745061633712e-13
0.318,5.122057531218672e-15
0.319,1.593047345301601e-13
0.32,3.134874115291016e-13
0.321,4.67670088528043e-13
0.322,6.218527655269846e-13
0.323,-6.06996831051681e-14
0.324,9.348299389377335e-14
0.325,2.476656708927148e-13
0.326,4.018483478916562e-13
0.327,5.560310248905977e-13
0.328,-1.2652142374155485e-13
0.329,2.7661253257386583e-14
0.33,1.8184393025632804e-13
0.331,3.360266072552695e-13
0.332,4.902092842542109e-13
0.333,-1.9234316437794162e-13
0.334,-3.816048737900018e-14
0.335,1.1602218961994127e-13
0.336,2.7020486661888273e-13
0.337,4.2438754361782414e-13
0.338,-2.5816490501432837e-13
0.339,-1.0398222801538696e-13
0.34,5.02004489835545e-14
0.341,2.0438312598249593e-13
0.342,3.585658029814374e-13
0.343,-3.239866456507152e-13
0.34400000000000003,-1.6980396865177373e-13
0.34500000000000003,-1.5621291652832273e-14
0.34600000000000003,1.3856138534610916e-13
0.34700000000000003,2.927440623450506e-13
0.34800000000000003,-3.898083862871019e-13
0.34900000000000003,-2.356257092881605e-13
0.35000000000000003,-8.144303228921904e-14
0.35100000000000003,7.273964470972241e-14
0.352,1.0636574473397577e-12
0.353,3.811049987076053e-13
0.354,5.352876757065467e-13
0.355,6.894703527054883e-13
0.356,8.436530297044297e-13
0.357,9.978357067033712e-13
0.358,3.1528325807121857e-13
0.359,4.6946593507016e-13
0.36,6.236486120691014e-13
0.361,7.778312890680429e-13
0.362,9.320139660669844e-13
0.363,2.4946151743483175e-13
0.364,4.036441944337732e-13
0.365,5.578268714327146e-13
